*************************************************************************************
Hours	 Load_Level	Ploss(kW)	Qloss(kVAr)	Bus_No		Vmin
*************************************************************************************
 1	0.475700	46.345633	21.168162	65		0.958899
 2	0.447300	40.783496	18.633750	65		0.961449
 3	0.426000	36.860882	16.845731	65		0.963353
 4	0.418900	35.600329	16.271019	65		0.963986
 5	0.418900	35.600329	16.271019	65		0.963986
 6	0.426000	36.860882	16.845731	65		0.963353
 7	0.525400	57.007591	26.023484	65		0.954404
 8	0.610600	78.111078	35.623948	65		0.946602
 9	0.674500	96.363393	43.918100	65		0.940668
10	0.681600	98.523304	44.899080	65		0.940004
11	0.681600	98.523304	44.899080	65		0.940004
12	0.674500	96.363393	43.918100	65		0.940668
13	0.674500	96.363393	43.918100	65		0.940668
14	0.674500	96.363393	43.918100	65		0.940668
15	0.660300	92.123403	41.992088	65		0.941993
16	0.667400	94.230127	42.949117	65		0.941331
17	0.702900	105.163938	47.914440	65		0.938006
18	0.710000	107.431465	48.943850	65		0.937339
19	0.710000	107.431465	48.943850	65		0.937339
20	0.681600	98.523304	44.899080	65		0.940004
21	0.646100	87.989177	40.113713	65		0.943314
22	0.589300	72.493987	33.069785	65		0.948565
23	0.518300	55.411259	25.296761	65		0.955049
24	0.447300	40.783496	18.633750	65		0.961449
25	0.396900	31.842336	14.557306	65		0.965943
26	0.390600	30.807149	14.085142	65		0.966502
27	0.378000	28.791131	13.165477	65		0.967618
28	0.365400	26.847220	12.278540	65		0.968731
29	0.371700	27.810189	12.717929	65		0.968175
30	0.409500	33.967343	15.526417	65		0.964823
31	0.453600	41.984454	19.181063	65		0.960884
32	0.535500	59.320898	27.076472	65		0.953486
33	0.598500	74.891884	34.160240	65		0.947718
34	0.623700	81.680646	37.246657	65		0.945392
35	0.630000	83.428702	38.041198	65		0.944808
36	0.623700	81.680646	37.246657	65		0.945392
37	0.585900	71.618637	32.671678	65		0.948877
38	0.579600	70.012064	31.940959	65		0.949455
39	0.567000	66.858690	30.506504	65		0.950610
40	0.554400	63.784577	29.107840	65		0.951763
41	0.567000	66.858690	30.506504	65		0.950610
42	0.579600	70.012064	31.940959	65		0.949455
43	0.604800	76.558690	34.918140	65		0.947137
44	0.617400	79.953004	36.461319	65		0.945974
45	0.604800	76.558690	34.918140	65		0.947137
46	0.567000	66.858690	30.506504	65		0.950610
47	0.504000	52.270522	23.866725	65		0.956344
48	0.441000	39.601187	18.094885	65		0.962013
49	0.640000	86.245482	39.321348	65		0.943881
50	0.600000	75.286913	34.339867	65		0.947580
51	0.580000	70.113475	31.987086	65		0.949419
52	0.560000	65.141097	29.725064	65		0.951251
53	0.560000	65.141097	29.725064	65		0.951251
54	0.580000	70.113475	31.987086	65		0.949419
55	0.640000	86.245482	39.321348	65		0.943881
56	0.760000	124.175390	56.541875	65		0.932610
57	0.870000	165.945184	75.472272	65		0.922035
58	0.950000	200.785670	91.238874	65		0.914190
59	0.990000	219.680821	99.781516	65		0.910215
60	1.000000	224.562367	101.987617	65		0.909216
61	0.990000	219.680821	99.781516	65		0.910215
62	1.000000	224.562367	101.987617	65		0.909216
63	1.000000	224.562367	101.987617	65		0.909216
64	0.970000	210.107821	95.454176	65		0.912207
65	0.960000	205.415583	93.332603	65		0.913199
66	0.960000	205.415583	93.332603	65		0.913199
67	0.930000	191.711300	87.134301	65		0.916164
68	0.920000	187.266093	85.123136	65		0.917148
69	0.920000	187.266093	85.123136	65		0.917148
70	0.930000	191.711300	87.134301	65		0.916164
71	0.870000	165.945184	75.472272	65		0.922035
72	0.720000	110.671265	50.414459	65		0.936397
73	0.371700	27.810189	12.717929	65		0.968175
74	0.365800	26.907827	12.306195	65		0.968696
75	0.354000	25.150213	11.504117	65		0.969737
76	0.342200	23.455114	10.730431	65		0.970775
77	0.348100	24.294871	11.113734	65		0.970256
78	0.383500	29.662245	13.562882	65		0.967131
79	0.424800	36.646187	16.747852	65		0.963460
80	0.501500	51.731613	23.621319	65		0.956571
81	0.560500	65.262973	29.780516	65		0.951205
82	0.584100	71.157577	32.461981	65		0.949042
83	0.590000	72.674930	33.152075	65		0.948500
84	0.584100	71.157577	32.461981	65		0.949042
85	0.548700	62.419807	28.486810	65		0.952283
86	0.542800	61.024073	27.851635	65		0.952821
87	0.531000	58.284043	26.604529	65		0.953895
88	0.519200	55.612251	25.388265	65		0.954967
89	0.531000	58.284043	26.604529	65		0.953895
90	0.542800	61.024073	27.851635	65		0.952821
91	0.566400	66.710510	30.439091	65		0.950665
92	0.578200	69.657759	31.779801	65		0.949584
93	0.566400	66.710510	30.439091	65		0.950665
94	0.531000	58.284043	26.604529	65		0.953895
95	0.472000	45.599329	20.828167	65		0.959232
96	0.413000	34.570598	15.801499	65		0.964512
*************************************************************************************
